SIGNAL_SCORE_THRESHOLD,SPRING_DROP_PCT,SPRING_BOUNCE_PCT,VOLUME_MULTIPLIER,STOP_LOSS_PCT,total_trades,win_rate,profit_factor,max_drawdown,final_capital,total_return_pct,max_loss_streak
60,0.002,0.002,1.3,0.005,452,0.2655,1.0607,0.3805,12617.96,26.18,36
60,0.002,0.002,1.3,0.007,452,0.2942,1.1227,0.3381,15417.43,54.17,36
60,0.002,0.002,1.5,0.003,452,0.2699,1.0897,0.2882,13710.34,37.1,24
60,0.002,0.002,1.5,0.005,452,0.2655,1.0607,0.3805,12617.96,26.18,36
60,0.002,0.002,1.5,0.007,452,0.2942,1.1227,0.3381,15417.43,54.17,36
60,0.002,0.002,1.8,0.003,452,0.2699,1.0897,0.2882,13710.34,37.1,24
60,0.002,0.002,1.8,0.005,452,0.2655,1.0607,0.3805,12617.96,26.18,36
60,0.002,0.002,1.8,0.007,452,0.2942,1.1227,0.3381,15417.43,54.17,36
60,0.002,0.002,2.0,0.003,452,0.2699,1.0897,0.2882,13710.34,37.1,24
60,0.002,0.002,2.0,0.005,452,0.2655,1.0607,0.3805,12617.96,26.18,36
60,0.002,0.002,2.0,0.007,452,0.2942,1.1227,0.3381,15417.43,54.17,36
60,0.002,0.0025,1.3,0.003,418,0.2775,1.1241,0.3154,15213.85,52.14,24
60,0.002,0.0025,1.3,0.005,418,0.2679,1.0721,0.3802,12935.3,29.35,31
60,0.002,0.0025,1.3,0.007,418,0.2967,1.1288,0.335,15170.61,51.71,30
60,0.002,0.0025,1.5,0.003,418,0.2775,1.1241,0.3154,15213.85,52.14,24
60,0.002,0.0025,1.5,0.005,418,0.2679,1.0721,0.3802,12935.3,29.35,31
60,0.002,0.0025,1.5,0.007,418,0.2967,1.1288,0.335,15170.61,51.71,30
60,0.002,0.0025,1.8,0.003,418,0.2775,1.1241,0.3154,15213.85,52.14,24
60,0.002,0.0025,1.8,0.005,418,0.2679,1.0721,0.3802,12935.3,29.35,31
60,0.002,0.0025,1.8,0.007,418,0.2967,1.1288,0.335,15170.61,51.71,30
60,0.002,0.0025,2.0,0.003,418,0.2775,1.1241,0.3154,15213.85,52.14,24
60,0.002,0.0025,2.0,0.005,418,0.2679,1.0721,0.3802,12935.3,29.35,31
60,0.002,0.0025,2.0,0.007,418,0.2967,1.1288,0.335,15170.61,51.71,30
60,0.002,0.003,1.3,0.003,398,0.2789,1.1307,0.3219,15258.97,52.59,23
60,0.002,0.003,1.3,0.005,398,0.2714,1.09,0.386,13497.84,34.98,30
60,0.002,0.003,1.3,0.007,398,0.294,1.1131,0.3283,14125.14,41.25,28
60,0.002,0.003,1.5,0.003,398,0.2789,1.1307,0.3219,15258.97,52.59,23
60,0.002,0.003,1.5,0.005,398,0.2714,1.09,0.386,13497.84,34.98,30
60,0.002,0.003,1.5,0.007,398,0.294,1.1131,0.3283,14125.14,41.25,28
60,0.002,0.003,1.8,0.003,398,0.2789,1.1307,0.3219,15258.97,52.59,23
60,0.002,0.003,1.8,0.005,398,0.2714,1.09,0.386,13497.84,34.98,30
60,0.002,0.003,1.8,0.007,398,0.294,1.1131,0.3283,14125.14,41.25,28
60,0.002,0.003,2.0,0.003,398,0.2789,1.1307,0.3219,15258.97,52.59,23
60,0.002,0.003,2.0,0.005,398,0.2714,1.09,0.386,13497.84,34.98,30
60,0.002,0.003,2.0,0.007,398,0.294,1.1131,0.3283,14125.14,41.25,28
60,0.003,0.0015,1.3,0.003,330,0.2636,1.0602,0.3761,11794.02,17.94,19
60,0.003,0.0015,1.3,0.005,330,0.2455,0.9629,0.4637,8971.67,-10.28,21
60,0.003,0.0015,1.3,0.007,330,0.2758,1.0058,0.3311,10141.65,1.42,30
60,0.003,0.0015,1.5,0.003,330,0.2636,1.0602,0.3761,11794.02,17.94,19
60,0.003,0.0015,1.5,0.005,330,0.2455,0.9629,0.4637,8971.67,-10.28,21
60,0.003,0.0015,1.5,0.007,330,0.2758,1.0058,0.3311,10141.65,1.42,30
60,0.003,0.0015,1.8,0.003,330,0.2636,1.0602,0.3761,11794.02,17.94,19
60,0.003,0.0015,1.8,0.005,330,0.2455,0.9629,0.4637,8971.67,-10.28,21
60,0.003,0.0015,1.8,0.007,330,0.2758,1.0058,0.3311,10141.65,1.42,30
60,0.003,0.0015,2.0,0.003,330,0.2636,1.0602,0.3761,11794.02,17.94,19
60,0.003,0.0015,2.0,0.005,330,0.2455,0.9629,0.4637,8971.67,-10.28,21
60,0.003,0.0015,2.0,0.007,330,0.2758,1.0058,0.3311,10141.65,1.42,30
60,0.003,0.002,1.3,0.003,298,0.2651,1.0691,0.3369,11850.03,18.5,18
60,0.003,0.002,1.3,0.005,298,0.2483,0.9843,0.4401,9586.06,-4.14,19
60,0.003,0.002,1.3,0.007,298,0.2651,0.9688,0.3489,9297.31,-7.03,29
60,0.003,0.002,1.5,0.003,298,0.2651,1.0691,0.3369,11850.03,18.5,18
60,0.003,0.002,1.5,0.005,298,0.2483,0.9843,0.4401,9586.06,-4.14,19
60,0.003,0.002,1.5,0.007,298,0.2651,0.9688,0.3489,9297.31,-7.03,29
60,0.003,0.002,1.8,0.003,298,0.2651,1.0691,0.3369,11850.03,18.5,18
60,0.003,0.002,1.8,0.005,298,0.2483,0.9843,0.4401,9586.06,-4.14,19
60,0.003,0.002,1.8,0.007,298,0.2651,0.9688,0.3489,9297.31,-7.03,29
60,0.003,0.002,2.0,0.003,298,0.2651,1.0691,0.3369,11850.03,18.5,18
60,0.003,0.002,2.0,0.005,298,0.2483,0.9843,0.4401,9586.06,-4.14,19
60,0.003,0.002,2.0,0.007,298,0.2651,0.9688,0.3489,9297.31,-7.03,29
60,0.003,0.0025,1.3,0.003,270,0.2556,1.0234,0.4109,10566.08,5.66,18
60,0.003,0.0025,1.3,0.005,270,0.2407,0.9522,0.4561,8892.76,-11.07,32
60,0.003,0.0025,1.3,0.007,270,0.2704,0.9864,0.3611,9713.14,-2.87,25
60,0.003,0.0025,1.5,0.003,270,0.2556,1.0234,0.4109,10566.08,5.66,18
60,0.003,0.0025,1.5,0.005,270,0.2407,0.9522,0.4561,8892.76,-11.07,32
60,0.003,0.0025,1.5,0.007,270,0.2704,0.9864,0.3611,9713.14,-2.87,25
60,0.003,0.0025,1.8,0.003,270,0.2556,1.0234,0.4109,10566.08,5.66,18
60,0.003,0.0025,1.8,0.005,270,0.2407,0.9522,0.4561,8892.76,-11.07,32
60,0.003,0.0025,1.8,0.007,270,0.2704,0.9864,0.3611,9713.14,-2.87,25
60,0.003,0.0025,2.0,0.003,270,0.2556,1.0234,0.4109,10566.08,5.66,18
60,0.003,0.0025,2.0,0.005,270,0.2407,0.9522,0.4561,8892.76,-11.07,32
60,0.003,0.0025,2.0,0.007,270,0.2704,0.9864,0.3611,9713.14,-2.87,25
60,0.003,0.003,1.3,0.003,255,0.251,1.0035,0.4223,10078.03,0.78,18
60,0.003,0.003,1.3,0.005,255,0.2392,0.947,0.4666,8824.71,-11.75,31
60,0.003,0.003,1.3,0.007,255,0.2706,0.9822,0.3734,9638.82,-3.61,24
60,0.003,0.003,1.5,0.003,255,0.251,1.0035,0.4223,10078.03,0.78,18
60,0.003,0.003,1.5,0.005,255,0.2392,0.947,0.4666,8824.71,-11.75,31
60,0.003,0.003,1.5,0.007,255,0.2706,0.9822,0.3734,9638.82,-3.61,24
60,0.003,0.003,1.8,0.003,255,0.251,1.0035,0.4223,10078.03,0.78,18
60,0.003,0.003,1.8,0.005,255,0.2392,0.947,0.4666,8824.71,-11.75,31
60,0.003,0.003,1.8,0.007,255,0.2706,0.9822,0.3734,9638.82,-3.61,24
60,0.003,0.003,2.0,0.003,255,0.251,1.0035,0.4223,10078.03,0.78,18
60,0.003,0.003,2.0,0.005,255,0.2392,0.947,0.4666,8824.71,-11.75,31
